"search-number","evaluation","evals-requested-so-far","passenger-number*","airplane-model*","boarding-method*","passenger-with-luggage-percent*","storing-luggage-takes-time*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","53","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""-2078484483""","264","264","264","0","264"
"1","54","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""-892232889""","268","268","268","0","268"
"1","55","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""-1172219233""","246","246","246","0","246"
"1","56","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""2135994156""","246","246","246","0","246"
"1","57","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""2127046601""","251","251","251","0","251"
"1","58","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""344165383""","256","256","256","0","256"
"1","59","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""1205216947""","262","262","262","0","262"
"1","60","500","108","""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""","100","true","""1223094399""","264","264","264","0","264"
"1","61","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""-1564925718""","192","192","192","0","192"
"1","62","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""-1960401206""","206","206","206","0","206"
"1","63","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""805292491""","210","210","210","0","210"
"1","64","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""-1098637616""","200","200","200","0","200"
"1","65","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""1871286386""","207","207","207","0","207"
"1","66","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""1059221499""","200","200","200","0","200"
"1","67","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""-930255098""","212","212","212","0","212"
"1","68","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""-2017861025""","217","217","217","0","217"
"1","69","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""360272698""","197","197","197","0","197"
"1","70","500","108","""A320 (30 rows - 180 seats)""","""By-row-back-to-front""","100","true","""197444086""","211","211","211","0","211"
"1","71","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-317693409""","225","225","225","0","225"
"1","72","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""534705316""","227","227","227","0","227"
"1","73","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""1015558540""","228","228","228","0","228"
"1","74","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-463006718""","210","210","210","0","210"
"1","75","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-1628011115""","225","225","225","0","225"
"1","76","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-920733035""","212","212","212","0","212"
"1","77","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-211995507""","215","215","215","0","215"
"1","78","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""320955487""","216","216","216","0","216"
"1","79","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-68241692""","210","210","210","0","210"
"1","80","500","108","""A320 (30 rows - 180 seats)""","""Back-to-front""","100","true","""-1080210608""","215","215","215","0","215"
